#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Martin St. Louis,2012-13,TBL,L,R,48,17,43,60,0,14,1.25,14,40,3,20,0,0,0,2,112,15.2,21:59,42.9
2,Steven Stamkos,2012-13,TBL,R,C,48,29,28,57,-4,32,1.19,19,39,10,18,0,0,0,2,157,18.5,22:01,49.6
3,Alex Ovechkin,2012-13,WSH,R,L,48,32,24,56,+2,36,1.17,16,29,16,27,0,0,0,4,220,14.6,20:53,0.0
4,Sidney Crosby,2012-13,PIT,L,C,36,15,41,56,+26,16,1.56,12,39,3,17,0,0,0,1,124,12.1,21:06,54.3
5,Patrick Kane,2012-13,CHI,L,R,47,23,32,55,+11,8,1.17,15,38,8,17,0,0,0,3,138,16.7,20:03,20.0
6,Eric Staal,2012-13,CAR,L,C,48,18,35,53,+5,54,1.10,14,43,3,9,1,1,0,4,152,11.8,21:00,52.0
7,Chris Kunitz,2012-13,PIT,L,L,48,22,30,52,+30,39,1.08,13,36,9,16,0,0,0,5,113,19.5,18:01,44.4
8,Phil Kessel,2012-13,TOR,R,R,48,20,32,52,-3,18,1.08,14,31,6,21,0,0,0,4,161,12.4,19:49,62.5
9,Taylor Hall,2012-13,EDM,L,L,45,16,34,50,+5,33,1.11,12,36,4,14,0,0,0,4,154,10.4,18:37,54.7
10,Pavel Datsyuk,2012-13,DET,L,C,47,15,34,49,+21,14,1.04,7,30,8,16,0,3,2,6,107,14.0,20:11,55.0
11,Ryan Getzlaf,2012-13,ANA,R,C,44,15,34,49,+14,41,1.11,8,31,4,15,3,3,0,3,99,15.2,20:12,48.0
12,Mike Ribeiro,2012-13,WSH,L,C,48,13,36,49,-4,53,1.02,7,22,6,27,0,0,0,1,63,20.6,17:50,44.8
13,Jonathan Toews,2012-13,CHI,L,C,47,23,25,48,+28,27,1.02,19,39,2,6,2,3,0,5,143,16.1,19:21,59.9
14,Claude Giroux,2012-13,PHI,R,C,48,13,35,48,-7,22,1.00,6,26,6,21,1,1,0,2,137,9.5,21:10,54.5
15,Henrik Zetterberg,2012-13,DET,L,C,46,11,37,48,+2,18,1.04,5,23,4,23,2,2,0,5,173,6.4,20:31,48.4
16,Nicklas Backstrom,2012-13,WSH,L,C,48,8,40,48,+8,20,1.00,5,30,3,18,0,0,0,1,82,9.8,19:54,51.4
17,John Tavares,2012-13,NYI,L,C,48,28,19,47,-2,18,0.98,19,31,9,16,0,0,0,5,162,17.3,20:46,49.4
18,Jakub Voracek,2012-13,PHI,L,R,48,22,24,46,-7,35,0.96,14,29,8,17,0,0,0,3,129,17.1,17:14,40.0
19,Andrew Ladd,2012-13,WPG,L,L,48,18,28,46,+10,22,0.96,15,40,3,6,0,0,0,4,121,14.9,19:41,53.7
20,Henrik Sedin,2012-13,VAN,L,C,48,11,34,45,+19,24,0.94,9,31,1,13,1,1,0,1,70,15.7,19:21,49.4
21,Derek Stepan,2012-13,NYR,R,C,48,18,26,44,+25,12,0.92,13,30,4,10,1,4,0,6,108,16.7,20:55,45.9
22,Nazem Kadri,2012-13,TOR,L,C,48,18,26,44,+15,23,0.92,13,36,5,8,0,0,0,1,107,16.8,16:03,44.3
23,Matt Moulson,2012-13,NYI,L,L,47,15,29,44,-3,4,0.94,7,29,8,15,0,0,0,0,154,9.7,19:09,100.0
24,Alexander Semin,2012-13,CAR,R,R,44,13,31,44,+14,46,1.00,9,34,4,9,0,1,0,1,150,8.7,20:57,23.8
25,PA Parenteau,2012-13,COL,R,R,48,18,25,43,-11,38,0.90,12,30,6,13,0,0,0,1,105,17.1,19:09,7.7
26,Matt Duchene,2012-13,COL,L,C,47,17,26,43,-12,12,0.91,15,33,2,9,0,1,1,3,132,12.9,20:55,54.7
27,Rick Nash,2012-13,NYR,L,L,44,21,21,42,+16,26,0.95,17,32,3,9,1,1,0,3,176,11.9,19:58,41.7
28,Anze Kopitar,2012-13,LAK,L,C,47,10,32,42,+14,16,0.89,10,26,0,16,0,0,0,1,98,10.2,20:29,53.3
29,Thomas Vanek,2012-13,BUF,R,L,38,20,21,41,-1,20,1.08,10,26,9,14,1,1,0,2,119,16.8,18:24,66.7
30,Blake Wheeler,2012-13,WPG,R,R,48,19,22,41,-3,28,0.85,17,34,2,7,0,0,0,2,129,14.7,18:48,22.2
31,Daniel Sedin,2012-13,VAN,L,L,47,12,28,40,+12,18,0.85,9,28,3,12,0,0,0,3,138,8.7,19:01,42.9
32,Joe Thornton,2012-13,SJS,L,C,48,7,33,40,+6,26,0.83,5,19,2,21,0,0,0,1,85,8.2,18:23,58.5
33,Max Pacioretty,2012-13,MTL,L,L,44,15,24,39,+8,28,0.89,11,27,4,12,0,0,0,0,163,9.2,16:31,28.6
34,Jiri Tlusty,2012-13,CAR,L,L,48,23,15,38,+15,18,0.79,19,30,4,8,0,0,0,3,117,19.7,18:15,16.7
35,Pascal Dupuis,2012-13,PIT,L,R,48,20,18,38,+31,26,0.79,17,34,2,3,1,1,0,2,140,14.3,17:30,47.4
36,Zach Parise,2012-13,MIN,L,L,48,18,20,38,+2,16,0.79,11,25,7,13,0,0,1,4,182,9.9,20:40,33.3
37,Sam Gagner,2012-13,EDM,R,C,48,14,24,38,-6,23,0.79,10,21,4,15,0,2,1,1,113,12.4,19:25,43.9
38,P.K. Subban,2012-13,MTL,R,D,42,11,27,38,+12,57,0.90,4,12,7,26,0,0,0,0,126,8.7,23:15,--
39,Kris Letang,2012-13,PIT,R,D,35,5,33,38,+16,8,1.09,4,25,1,13,0,0,0,1,95,5.3,25:38,--
40,Logan Couture,2012-13,SJS,L,C,48,21,16,37,+7,4,0.77,14,24,7,12,0,1,0,5,151,13.9,18:06,51.5
41,Jordan Eberle,2012-13,EDM,R,R,48,16,21,37,-4,16,0.77,13,28,3,9,0,0,0,3,133,12.0,19:00,42.1
42,Mikko Koivu,2012-13,MIN,L,C,48,11,26,37,+2,26,0.77,11,24,0,13,0,0,1,3,127,8.7,21:06,54.0
43,James Neal,2012-13,PIT,L,L,40,21,15,36,+5,26,0.90,12,20,9,16,0,0,0,6,136,15.4,17:28,16.7
44,Brad Marchand,2012-13,BOS,L,L,45,18,18,36,+23,27,0.80,12,30,4,4,2,2,0,5,91,19.8,16:58,50.0
45,Chris Stewart,2012-13,STL,R,R,48,18,18,36,0,40,0.75,12,24,6,12,0,0,1,3,97,18.6,15:49,29.6
46,Corey Perry,2012-13,ANA,R,R,44,15,21,36,+10,72,0.82,10,25,5,10,0,1,1,5,128,11.7,19:04,20.7
