#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Evgeni Malkin,2008-09,PIT,L,C,82,35,78,113,+17,80,1.38,19,70,14,41,2,2,2,4,290,12.1,22:31,42.4
2,Alex Ovechkin,2008-09,WSH,R,L,79,56,54,110,+8,72,1.39,36,63,19,46,1,1,2,10,528,10.6,23:00,25.0
3,Sidney Crosby,2008-09,PIT,L,C,77,33,70,103,+3,76,1.34,26,62,7,40,0,1,1,3,238,13.9,21:57,51.3
4,Pavel Datsyuk,2008-09,DET,L,C,81,32,65,97,+34,22,1.20,20,59,11,36,1,2,0,3,248,12.9,19:13,56.0
5,Zach Parise,2008-09,NJD,L,L,82,45,49,94,+30,24,1.15,31,61,14,30,0,3,3,8,364,12.4,18:45,44.6
6,Ilya Kovalchuk,2008-09,ATL,R,L,79,43,48,91,-12,50,1.15,31,54,12,36,0,1,1,6,275,15.6,21:48,35.7
7,Ryan Getzlaf,2008-09,ANA,R,C,81,25,66,91,+5,121,1.12,16,54,9,37,0,0,0,2,227,11.0,20:08,50.2
8,Jarome Iginla,2008-09,CGY,R,R,82,35,54,89,-2,37,1.09,25,57,10,32,0,0,0,4,289,12.1,21:37,52.5
9,Marc Savard,2008-09,BOS,L,C,82,25,63,88,+25,70,1.07,16,56,9,30,0,2,0,5,213,11.7,19:32,49.9
10,Nicklas Backstrom,2008-09,WSH,L,C,82,22,66,88,+16,46,1.07,8,46,14,42,0,0,0,1,174,12.6,19:57,48.7
11,Joe Thornton,2008-09,SJS,L,C,82,25,61,86,+16,56,1.05,14,51,11,35,0,0,1,3,139,18.0,19:28,55.4
12,Jeff Carter,2008-09,PHI,R,C,82,46,38,84,+23,68,1.02,29,56,13,24,4,4,3,12,342,13.5,20:57,48.3
13,Michael Cammalleri,2008-09,CGY,L,L,81,39,43,82,-2,44,1.01,20,48,19,34,0,0,1,6,255,15.3,17:33,60.3
14,Daniel Sedin,2008-09,VAN,L,L,82,31,51,82,+24,36,1.00,22,58,9,24,0,0,0,7,285,10.9,18:48,40.0
15,Henrik Sedin,2008-09,VAN,L,C,82,22,60,82,+22,48,1.00,18,56,4,26,0,0,2,8,143,15.4,19:31,49.6
16,Martin St. Louis,2008-09,TBL,L,R,82,30,50,80,+4,14,0.98,21,52,7,25,2,3,1,3,262,11.5,21:17,46.7
17,Mike Richards,2008-09,PHI,L,C,79,30,50,80,+22,63,1.01,15,38,8,33,7,9,2,4,238,12.6,21:44,49.0
18,Rick Nash,2008-09,CBJ,L,L,78,40,39,79,+11,52,1.01,29,54,6,19,5,6,2,5,263,15.2,21:10,27.8
19,Alexander Semin,2008-09,WSH,R,R,62,34,45,79,+25,77,1.27,26,47,8,30,0,2,2,8,223,15.3,19:14,50.0
20,Patrik Elias,2008-09,NJD,L,C,77,31,47,78,+18,32,1.01,17,42,12,31,2,5,1,6,247,12.6,18:34,29.9
21,Mike Ribeiro,2008-09,DAL,L,C,82,22,56,78,-4,52,0.95,15,55,7,23,0,0,0,1,163,13.5,20:57,45.5
22,Martin Havlat,2008-09,CHI,L,R,81,29,48,77,+29,30,0.95,24,63,5,14,0,0,2,5,249,11.7,17:25,25.0
23,Ray Whitney,2008-09,CAR,R,L,82,24,53,77,+2,32,0.94,17,47,7,30,0,0,1,2,219,11.0,18:25,50.0
24,Vyacheslav Kozlov,2008-09,ATL,L,L,82,26,50,76,-14,44,0.93,14,33,12,43,0,0,0,3,165,15.8,17:14,37.5
25,Eric Staal,2008-09,CAR,L,C,82,40,35,75,+15,50,0.91,25,49,14,24,1,2,1,8,372,10.8,21:03,45.3
26,Simon Gagne,2008-09,PHI,L,L,79,34,40,74,+21,42,0.94,18,41,12,25,4,8,0,3,221,15.4,19:01,30.0
27,Daniel Alfredsson,2008-09,OTT,R,R,79,24,50,74,+7,24,0.94,15,42,8,28,1,4,0,3,204,11.8,20:53,23.5
28,Jason Spezza,2008-09,OTT,R,C,82,32,41,73,-14,79,0.89,18,41,13,31,1,1,0,3,246,13.0,19:41,53.3
29,Shane Doan,2008-09,PHX,R,R,82,31,42,73,+5,72,0.89,21,46,10,25,0,2,0,4,230,13.5,20:15,44.2
30,Henrik Zetterberg,2008-09,DET,L,C,77,31,42,73,+13,36,0.95,17,41,12,30,2,2,0,5,309,10.0,19:53,53.3
31,Mike Green,2008-09,WSH,R,D,68,31,42,73,+24,68,1.07,12,34,18,38,1,1,0,4,243,12.8,25:46,--
32,Todd White,2008-09,ATL,L,C,82,22,51,73,-9,24,0.89,9,38,12,34,1,1,0,0,150,14.7,18:04,50.6
33,David Krejci,2008-09,BOS,R,C,82,22,51,73,+37,26,0.89,15,50,5,19,2,4,1,6,146,15.1,16:52,50.3
34,Dany Heatley,2008-09,OTT,L,L,82,39,33,72,-11,88,0.88,24,46,15,26,0,0,0,6,258,15.1,20:07,46.7
35,Brad Boyes,2008-09,STL,R,R,82,33,39,72,-20,26,0.88,17,37,16,35,0,0,1,11,220,15.0,19:08,49.2
36,Corey Perry,2008-09,ANA,R,R,78,32,40,72,+10,109,0.92,22,48,10,24,0,0,0,8,283,11.3,18:36,29.0
37,Marian Hossa,2008-09,DET,L,R,74,40,31,71,+27,63,0.96,30,47,10,23,0,1,1,8,307,13.0,17:48,21.1
38,Patrick Marleau,2008-09,SJS,L,C,76,38,33,71,+16,18,0.93,22,46,11,18,5,7,1,10,251,15.1,21:21,52.5
39,Derek Roy,2008-09,BUF,L,C,82,28,42,70,-5,38,0.85,18,39,9,30,1,1,1,9,221,12.7,21:12,50.7
40,Patrick Kane,2008-09,CHI,L,R,80,25,45,70,-2,42,0.88,12,35,13,35,0,0,0,4,254,9.8,18:40,41.9
41,Jonathan Toews,2008-09,CHI,L,C,82,34,35,69,+12,51,0.84,22,47,12,22,0,0,0,7,195,17.4,18:38,54.7
42,Jamie Langenbrunner,2008-09,NJD,R,R,81,29,40,69,+25,56,0.85,20,49,6,17,3,3,2,7,229,12.7,18:06,40.0
43,Vincent Lecavalier,2008-09,TBL,L,C,77,29,38,67,-9,54,0.87,18,41,10,24,1,2,1,6,291,10.0,20:15,50.9
44,Mikko Koivu,2008-09,MIN,L,C,79,20,47,67,+2,66,0.85,11,35,5,26,4,6,1,3,236,8.5,21:29,52.7
45,Anze Kopitar,2008-09,LAK,L,C,82,27,39,66,-17,32,0.80,19,42,7,23,1,1,0,3,234,11.5,20:27,49.5
46,Ales Hemsky,2008-09,EDM,R,R,72,23,43,66,+1,32,0.92,19,35,4,31,0,0,0,2,185,12.4,18:39,0.0
