#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Henrik Sedin,2009-10,VAN,L,C,82,29,83,112,+35,48,1.37,23,83,4,27,2,2,0,5,166,17.5,19:41,49.5
2,Sidney Crosby,2009-10,PIT,L,C,81,51,58,109,+15,71,1.35,36,72,13,34,2,3,1,6,298,17.1,21:57,55.9
3,Alex Ovechkin,2009-10,WSH,R,L,72,50,59,109,+45,89,1.51,37,73,13,36,0,0,0,7,368,13.6,21:48,45.5
4,Nicklas Backstrom,2009-10,WSH,L,C,82,33,68,101,+37,50,1.23,22,64,11,37,0,0,1,4,222,14.9,20:27,49.9
5,Steven Stamkos,2009-10,TBL,R,C,82,51,44,95,-2,38,1.16,26,53,24,41,1,1,1,5,297,17.2,20:33,47.9
6,Martin St. Louis,2009-10,TBL,L,R,82,29,65,94,-8,12,1.15,21,56,7,37,1,1,2,7,242,12.0,21:49,45.2
7,Brad Richards,2009-10,DAL,L,C,80,24,67,91,-12,14,1.14,11,51,13,40,0,0,0,2,284,8.5,20:52,51.5
8,Joe Thornton,2009-10,SJS,L,C,79,20,69,89,+17,54,1.13,15,57,4,29,1,3,0,2,141,14.2,19:51,53.9
9,Patrick Kane,2009-10,CHI,L,R,82,30,58,88,+16,20,1.07,21,58,9,29,0,1,0,6,261,11.5,19:12,40.9
10,Marian Gaborik,2009-10,NYR,L,R,76,42,44,86,+15,37,1.13,27,58,14,26,1,2,0,4,272,15.4,21:15,28.6
11,Ilya Kovalchuk,2009-10,"ATL,NJD",R,L,76,41,44,85,+10,53,1.12,29,58,12,27,0,0,1,4,290,14.1,22:02,23.3
12,Daniel Sedin,2009-10,VAN,L,L,63,29,56,85,+36,28,1.35,21,64,8,21,0,0,1,8,225,12.9,19:08,33.3
13,Alexander Semin,2009-10,WSH,R,R,73,40,44,84,+36,66,1.15,30,55,8,27,2,2,0,5,278,14.4,19:07,37.5
14,Patrick Marleau,2009-10,SJS,L,C,82,44,39,83,+21,22,1.01,28,54,12,25,4,4,0,6,274,16.1,21:13,51.4
15,Dany Heatley,2009-10,SJS,L,L,82,39,43,82,+14,54,1.00,20,51,18,30,1,1,1,9,280,13.9,20:14,40.0
16,Zach Parise,2009-10,NJD,L,L,81,38,44,82,+24,32,1.01,28,55,9,26,1,1,1,5,347,11.0,19:46,37.5
17,Anze Kopitar,2009-10,LAK,L,C,82,34,47,81,+6,16,0.99,19,42,14,38,1,1,0,2,259,13.1,21:47,49.7
18,Paul Stastny,2009-10,COL,L,C,81,20,59,79,+2,50,0.98,11,54,9,25,0,0,0,2,199,10.1,21:24,50.0
19,Evgeni Malkin,2009-10,PIT,L,C,67,28,49,77,-6,100,1.15,13,46,13,28,2,3,2,7,268,10.5,20:51,40.0
20,Corey Perry,2009-10,ANA,R,R,82,27,49,76,0,111,0.93,20,51,6,23,1,2,0,2,270,10.0,21:04,21.4
21,Mike Green,2009-10,WSH,R,D,75,19,57,76,+39,54,1.01,9,40,10,35,0,1,1,4,205,9.3,25:29,--
22,Ryan Kesler,2009-10,VAN,R,C,82,25,50,75,+1,104,0.91,12,46,12,26,1,3,0,5,214,11.7,19:38,55.1
23,Loui Eriksson,2009-10,DAL,L,L,82,29,42,71,-4,26,0.87,21,56,6,12,2,3,0,4,214,13.6,19:46,36.4
24,Mikko Koivu,2009-10,MIN,L,C,80,22,49,71,-2,50,0.89,13,42,8,28,1,1,0,2,246,8.9,20:45,56.9
25,Daniel Alfredsson,2009-10,OTT,R,R,70,20,51,71,+8,22,1.01,15,36,4,31,1,4,0,5,168,11.9,19:40,35.0
26,Eric Staal,2009-10,CAR,L,C,70,29,41,70,+4,68,1.00,16,47,13,23,0,0,0,5,277,10.5,20:43,41.8
27,Pavel Datsyuk,2009-10,DET,L,C,80,27,43,70,+17,18,0.88,18,45,9,25,0,0,0,3,203,13.3,20:21,55.1
28,Tomas Plekanec,2009-10,MTL,L,C,82,25,45,70,+5,50,0.85,21,45,3,24,1,1,2,4,216,11.6,19:58,49.0
29,Vincent Lecavalier,2009-10,TBL,L,C,82,24,46,70,-16,63,0.85,19,45,5,25,0,0,0,3,295,8.1,19:47,53.2
30,Henrik Zetterberg,2009-10,DET,L,C,74,23,47,70,+12,26,0.95,20,47,3,22,0,1,1,6,309,7.4,20:04,49.5
31,Jarome Iginla,2009-10,CGY,R,R,82,32,37,69,-2,58,0.84,22,48,10,21,0,0,1,5,257,12.5,20:36,47.1
32,Derek Roy,2009-10,BUF,L,C,80,26,43,69,+9,48,0.86,15,43,10,25,1,1,3,6,215,12.1,19:23,50.4
33,Ryan Getzlaf,2009-10,ANA,R,C,66,19,50,69,+4,79,1.05,11,47,8,22,0,0,0,5,149,12.8,21:40,47.4
34,Duncan Keith,2009-10,CHI,L,D,82,14,55,69,+21,51,0.84,10,48,3,16,1,5,0,1,213,6.6,26:36,--
35,Jonathan Toews,2009-10,CHI,L,C,76,25,43,68,+22,47,0.89,15,42,9,22,1,4,0,3,202,12.4,20:00,57.3
36,Alexandre Burrows,2009-10,VAN,L,R,82,35,32,67,+34,121,0.82,26,54,4,6,5,7,0,3,209,16.8,17:52,41.2
37,Rick Nash,2009-10,CBJ,L,L,76,33,34,67,-2,58,0.88,21,41,10,22,2,4,0,6,254,13.0,20:56,50.0
38,Travis Zajac,2009-10,NJD,R,C,82,25,42,67,+22,24,0.82,19,45,6,21,0,1,1,4,210,11.9,20:13,52.9
39,Nik Antropov,2009-10,ATL,L,C,76,24,43,67,+13,44,0.88,16,46,8,21,0,0,0,4,126,19.1,18:14,43.4
40,Patrick Sharp,2009-10,CHI,R,L,82,25,41,66,+24,28,0.80,19,47,4,16,2,3,1,4,266,9.4,18:07,51.7
41,Jussi Jokinen,2009-10,CAR,L,L,81,30,35,65,+3,36,0.80,20,41,10,24,0,0,0,6,160,18.8,16:49,51.3
42,Antoine Vermette,2009-10,CBJ,L,C,82,27,38,65,+2,32,0.79,19,51,6,12,2,2,0,1,156,17.3,20:09,54.2
43,Wojtek Wolski,2009-10,"COL,PHX",L,L,80,23,42,65,+21,27,0.81,21,55,2,10,0,0,0,5,195,11.8,18:44,44.4
44,Tim Connolly,2009-10,BUF,R,C,73,17,48,65,+10,28,0.89,9,36,7,27,1,2,2,5,206,8.3,18:37,46.9
45,Bobby Ryan,2009-10,ANA,R,R,81,35,29,64,+9,81,0.79,24,43,11,21,0,0,0,3,258,13.6,18:29,44.1
46,Chris Stewart,2009-10,COL,R,R,77,28,36,64,+4,73,0.83,25,51,3,13,0,0,0,5,221,12.7,16:42,37.5
47,Dustin Penner,2009-10,EDM,L,L,82,32,31,63,+6,38,0.77,23,46,9,17,0,0,0,1,203,15.8,18:23,47.7
48,Kristian Huselius,2009-10,CBJ,L,L,74,23,40,63,-4,36,0.85,14,39,8,23,1,1,0,5,162,14.2,18:24,28.6
49,Mike Richards,2009-10,PHI,L,C,82,31,31,62,-2,79,0.76,17,29,13,31,1,2,0,3,237,13.1,20:24,50.7
50,Jason Pominville,2009-10,BUF,R,R,82,24,38,62,+13,22,0.76,16,42,8,20,0,0,0,2,252,9.5,18:45,35.0
51,Jeff Carter,2009-10,PHI,R,C,74,33,28,61,+2,38,0.82,20,37,11,22,2,2,0,6,319,10.3,19:18,52.4
52,Andrew Brunette,2009-10,MIN,L,L,82,25,36,61,-5,12,0.74,13,36,12,25,0,0,1,3,129,19.4,17:02,50.0
53,Maxim Afinogenov,2009-10,ATL,L,R,82,24,37,61,-17,46,0.74,18,43,6,18,0,0,0,3,181,13.3,17:24,33.3
54,Jamie Langenbrunner,2009-10,NJD,R,R,81,19,42,61,+6,44,0.75,11,38,6,19,2,4,0,4,228,8.3,19:33,48.3
55,Stephen Weiss,2009-10,FLA,L,C,80,28,32,60,-7,40,0.75,16,37,12,22,0,1,0,2,180,15.6,20:00,52.4
56,Brooks Laich,2009-10,WSH,L,C,78,25,34,59,+16,34,0.76,12,36,12,21,1,2,2,4,222,11.3,18:17,45.1
57,Drew Doughty,2009-10,LAK,R,D,82,16,43,59,+20,54,0.72,7,28,9,31,0,0,1,5,142,11.3,24:59,--
58,Scott Gomez,2009-10,MTL,L,C,78,12,47,59,+1,60,0.76,7,40,5,19,0,0,0,1,180,6.7,19:56,50.8
59,Rene Bourque,2009-10,CGY,L,R,73,27,31,58,+7,88,0.79,17,41,6,13,4,4,0,5,215,12.6,18:19,32.0
60,Ray Whitney,2009-10,CAR,R,L,80,21,37,58,-6,26,0.73,14,39,7,19,0,0,2,5,171,12.3,19:09,33.3
61,Vinny Prospal,2009-10,NYR,L,L,75,20,38,58,+8,32,0.77,13,38,6,19,1,1,0,4,180,11.1,20:06,51.2
62,Dan Boyle,2009-10,SJS,R,D,76,15,43,58,+6,70,0.76,9,29,6,29,0,0,0,3,180,8.3,26:13,0.0
63,Andy McDonald,2009-10,STL,L,C,79,24,33,57,-9,18,0.72,18,35,6,22,0,0,1,3,191,12.6,18:08,53.9
64,Jason Spezza,2009-10,OTT,R,C,60,23,34,57,0,20,0.95,12,33,11,24,0,0,1,5,165,13.9,19:04,50.5
65,Nathan Horton,2009-10,FLA,R,R,65,20,37,57,-1,42,0.88,11,44,7,11,2,2,0,4,159,12.6,20:53,56.5
66,Ryane Clowe,2009-10,SJS,L,L,82,19,38,57,0,131,0.70,17,42,2,15,0,0,0,2,189,10.1,17:10,48.0
