#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
31,Pavel Buchnevich,2021-22,STL,L,L,30,11,19,30,+15,18,1.00,7,18,4,11,0,1,1,1,94,11.7,18:12,36.0
32,Jake Guentzel,2021-22,PIT,L,L,25,16,13,29,+3,12,1.16,12,22,4,7,0,0,0,2,93,17.2,19:02,64.3
33,Matt Duchene,2021-22,NSH,L,C,29,13,16,29,-1,12,1.00,9,19,4,10,0,0,2,3,82,15.9,18:59,56.3
34,Logan Couture,2021-22,SJS,L,C,32,12,17,29,+7,8,0.91,9,21,1,5,2,3,0,1,78,15.4,18:55,51.5
35,Claude Giroux,2021-22,PHI,R,C,32,11,18,29,-7,14,0.91,9,20,2,9,0,0,0,0,84,13.1,18:22,61.3
36,Anze Kopitar,2021-22,LAK,L,C,33,9,20,29,-6,6,0.88,6,17,3,11,0,1,0,2,85,10.6,21:21,57.1
37,Alex Killorn,2021-22,TBL,L,L,34,9,20,29,0,32,0.85,9,24,0,5,0,0,0,1,59,15.3,19:23,0.0
38,Jesper Bratt,2021-22,NJD,L,L,32,9,20,29,+4,10,0.91,9,25,0,4,0,0,0,3,88,10.2,16:48,0.0
39,Mikael Granlund,2021-22,NSH,L,C,31,5,24,29,+3,15,0.94,4,20,1,9,0,0,0,1,45,11.1,20:33,49.1
40,Ryan Hartman,2021-22,MIN,R,R,31,15,13,28,+24,29,0.90,14,25,1,3,0,0,1,4,106,14.2,18:02,46.7
41,Matthew Tkachuk,2021-22,CGY,L,L,30,14,14,28,+17,30,0.93,8,18,6,10,0,0,0,3,103,13.6,18:06,50.0
42,Elias Lindholm,2021-22,CGY,R,C,30,12,16,28,+25,2,0.93,7,17,4,10,1,1,1,3,89,13.5,20:16,53.5
43,Gabriel Landeskog,2021-22,COL,L,L,23,10,18,28,+13,44,1.22,8,20,2,8,0,0,0,1,63,15.9,19:53,55.4
44,Lucas Raymond,2021-22,DET,R,L,33,10,18,28,+1,4,0.85,7,22,3,6,0,0,1,1,66,15.2,17:28,50.0
45,Drake Batherson,2021-22,OTT,R,R,24,9,19,28,+3,14,1.17,9,19,0,9,0,0,0,0,63,14.3,19:16,53.3
46,Quinn Hughes,2021-22,VAN,L,D,33,2,26,28,+10,20,0.85,2,15,0,12,0,1,0,0,69,2.9,24:41,--
47,Cale Makar,2021-22,COL,R,D,24,13,14,27,+8,6,1.13,10,16,3,11,0,0,0,3,67,19.4,24:14,--
48,Joe Pavelski,2021-22,DAL,R,C,29,12,15,27,+6,8,0.93,6,18,6,9,0,0,0,1,62,19.4,17:20,53.4
49,Ivan Barbashev,2021-22,STL,L,C,32,12,15,27,+5,16,0.84,7,18,4,7,1,2,0,0,52,23.1,17:05,36.3
50,Ryan Johansen,2021-22,NSH,R,C,30,10,17,27,0,12,0.90,6,17,4,10,0,0,0,2,47,21.3,16:30,54.1
51,Morgan Rielly,2021-22,TOR,L,D,31,4,23,27,+14,10,0.87,3,17,1,10,0,0,0,2,84,4.8,23:57,--
52,Nathan MacKinnon,2021-22,COL,R,C,18,3,24,27,-2,6,1.50,2,19,1,8,0,0,0,1,72,4.2,21:42,42.4
53,Evan Rodrigues,2021-22,PIT,R,C,31,13,13,26,+8,0,0.84,8,21,5,5,0,0,0,1,105,12.4,17:27,48.3
54,Reilly Smith,2021-22,VGK,L,R,35,11,15,26,+5,6,0.74,6,17,3,6,2,3,0,2,95,11.6,17:54,0.0
55,Sam Reinhart,2021-22,FLA,R,C,32,9,17,26,+6,6,0.81,7,19,2,7,0,0,0,1,68,13.2,17:20,49.7
56,Patrick Kane,2021-22,CHI,L,R,28,7,19,26,-12,4,0.93,5,17,2,9,0,0,0,2,103,6.8,21:53,66.7
57,Ryan Nugent-Hopkins,2021-22,EDM,L,C,30,3,23,26,0,4,0.87,3,10,0,14,0,2,0,0,71,4.2,20:35,39.1
58,Tomas Hertl,2021-22,SJS,L,C,33,16,9,25,-4,6,0.76,13,20,3,5,0,0,1,2,92,17.4,18:51,52.8
59,Filip Forsberg,2021-22,NSH,R,L,24,15,10,25,+1,8,1.04,13,19,2,6,0,0,1,4,70,21.4,18:15,100.0
60,Pierre-Luc Dubois,2021-22,WPG,L,L,31,14,11,25,+1,28,0.81,8,17,6,8,0,0,0,2,89,15.7,18:40,42.3
61,Jason Robertson,2021-22,DAL,L,L,23,10,15,25,+7,14,1.09,7,18,3,7,0,0,0,3,59,17.0,16:54,--
62,Teuvo Teravainen,2021-22,CAR,L,L,31,9,16,25,+12,10,0.81,2,12,5,11,2,2,0,1,87,10.3,18:34,41.7
63,Aaron Ekblad,2021-22,FLA,R,D,31,9,16,25,+21,16,0.81,7,17,2,8,0,0,1,1,97,9.3,25:27,--
64,Mats Zuccarello,2021-22,MIN,L,R,25,8,17,25,+12,2,1.00,6,16,2,9,0,0,0,1,54,14.8,18:36,52.2
65,Trevor Zegras,2021-22,ANA,L,C,30,8,17,25,-6,24,0.83,6,19,2,6,0,0,1,2,73,11.0,17:08,41.3
66,Robert Thomas,2021-22,STL,R,C,26,3,22,25,+2,10,0.96,3,18,0,7,0,0,0,1,39,7.7,19:12,52.0
67,Alex DeBrincat,2021-22,CHI,R,L,32,18,6,24,-12,11,0.75,12,15,6,9,0,0,2,2,100,18.0,20:40,22.2
68,Jonathan Marchessault,2021-22,VGK,R,C,30,16,8,24,0,10,0.80,14,19,2,5,0,0,0,2,102,15.7,17:10,40.8
69,Nikolaj Ehlers,2021-22,WPG,L,L,31,12,12,24,+8,10,0.77,12,21,0,3,0,0,0,1,126,9.5,18:43,50.0
70,Patrice Bergeron,2021-22,BOS,R,C,27,11,13,24,+7,10,0.89,7,13,4,10,0,1,0,2,104,10.6,18:17,63.5
71,Ondrej Palat,2021-22,TBL,L,L,34,10,14,24,+5,10,0.71,10,20,0,4,0,0,2,5,66,15.2,17:50,0.0
72,Andrei Svechnikov,2021-22,CAR,L,R,28,10,14,24,+11,37,0.86,9,16,1,8,0,0,0,1,91,11.0,17:13,0.0
73,Tom Wilson,2021-22,WSH,R,R,30,9,15,24,+13,54,0.80,7,19,1,3,1,2,0,1,52,17.3,19:16,44.4
74,Carter Verhaeghe,2021-22,FLA,L,C,31,8,16,24,+10,18,0.77,8,22,0,2,0,0,1,1,51,15.7,16:49,83.3
75,Shea Theodore,2021-22,VGK,L,D,32,6,18,24,+9,10,0.75,5,16,1,8,0,0,0,0,79,7.6,22:51,--
76,Cam Atkinson,2021-22,PHI,R,R,32,12,11,23,+14,6,0.72,9,19,1,2,2,2,1,4,92,13.0,17:12,33.3
77,Conor Garland,2021-22,VAN,R,R,34,10,13,23,+8,26,0.68,9,21,1,2,0,0,0,3,98,10.2,16:31,42.9
78,Clayton Keller,2021-22,ARI,L,R,30,10,13,23,-5,20,0.77,8,19,2,3,0,1,2,2,81,12.4,20:00,37.2
79,Jesse Puljujarvi,2021-22,EDM,R,R,30,10,13,23,+7,12,0.77,7,18,3,5,0,0,0,1,82,12.2,17:13,--
80,Oliver Bjorkstrand,2021-22,CBJ,R,R,28,9,14,23,-12,6,0.82,6,15,3,8,0,0,0,0,78,11.5,18:40,40.0
81,Ryan Strome,2021-22,NYR,R,C,29,7,16,23,0,36,0.79,5,15,2,8,0,0,0,3,61,11.5,18:20,43.4
82,Mark Stone,2021-22,VGK,R,R,19,6,17,23,+11,8,1.21,4,19,2,3,0,1,0,1,39,15.4,18:23,42.1
83,Seth Jones,2021-22,CHI,R,D,32,3,20,23,-7,16,0.72,3,14,0,8,0,1,0,0,84,3.6,25:42,--
84,Jakub Voracek,2021-22,CBJ,L,R,30,1,22,23,-2,12,0.77,0,13,1,10,0,0,0,0,52,1.9,16:51,13.3
85,Josh Norris,2021-22,OTT,L,C,28,14,8,22,+2,8,0.79,9,16,5,6,0,0,0,3,76,18.4,18:54,49.9
86,Tyler Bertuzzi,2021-22,DET,L,L,25,13,9,22,+11,16,0.88,12,20,1,2,0,0,0,3,62,21.0,19:16,35.7
87,Jordan Eberle,2021-22,SEA,R,R,31,12,10,22,-17,4,0.71,9,16,3,6,0,0,0,1,66,18.2,18:04,33.3
88,Anthony Duclair,2021-22,FLA,L,L,24,12,10,22,+18,2,0.92,11,18,1,4,0,0,0,1,50,24.0,15:06,0.0
89,Roope Hintz,2021-22,DAL,L,L,27,12,10,22,+6,8,0.81,8,12,2,8,2,2,0,3,72,16.7,16:49,52.1
90,Tage Thompson,2021-22,BUF,R,R,33,12,10,22,-6,13,0.67,10,17,2,5,0,0,0,0,100,12.0,17:33,40.7
91,Brady Tkachuk,2021-22,OTT,L,L,26,12,10,22,+4,56,0.85,9,19,3,3,0,0,1,2,82,14.6,18:18,60.0
92,Erik Karlsson,2021-22,SJS,R,D,27,8,14,22,+2,12,0.81,8,16,0,6,0,0,1,2,68,11.8,23:05,--
93,Sonny Milano,2021-22,ANA,L,L,30,8,14,22,0,2,0.73,5,15,3,7,0,0,0,2,51,15.7,15:07,0.0
94,Alex Pietrangelo,2021-22,VGK,R,D,33,5,17,22,+6,24,0.67,3,13,1,7,1,2,0,0,88,5.7,25:38,--
95,Tony DeAngelo,2021-22,CAR,R,D,24,5,17,22,+11,25,0.92,5,15,0,7,0,0,0,1,52,9.6,18:47,--
96,Ryan Getzlaf,2021-22,ANA,R,C,29,2,20,22,0,15,0.76,0,15,2,7,0,0,0,1,65,3.1,19:11,56.7
97,Kris Letang,2021-22,PIT,R,D,27,1,21,22,+9,20,0.81,1,15,0,7,0,0,1,1,68,1.5,25:58,--
98,Andrew Mangiapane,2021-22,CGY,L,L,30,18,3,21,+6,16,0.70,11,13,6,7,1,1,0,4,75,24.0,16:01,46.4
99,Max Pacioretty,2021-22,VGK,L,L,16,12,9,21,+8,11,1.31,9,14,3,7,0,0,0,3,77,15.6,17:56,33.3
100,Andre Burakovsky,2021-22,COL,L,L,26,12,9,21,-1,12,0.81,9,15,3,6,0,0,0,2,50,24.0,16:32,33.3
101,Aleksander Barkov,2021-22,FLA,L,C,19,12,9,21,+13,4,1.11,8,16,3,4,1,1,1,2,55,21.8,20:18,54.1
102,Andreas Johnsson,2021-22,NJD,L,L,33,9,12,21,+5,18,0.64,8,20,1,1,0,0,0,0,63,14.3,14:56,30.0
103,Andrew Copp,2021-22,WPG,L,C,31,8,13,21,+6,8,0.68,5,16,2,3,1,2,0,1,83,9.6,20:26,55.2
104,David Pastrnak,2021-22,BOS,R,R,28,8,13,21,+3,8,0.75,4,15,4,6,0,0,0,1,120,6.7,19:30,33.3
105,Kyle Okposo,2021-22,BUF,R,R,33,7,14,21,-7,18,0.64,3,14,3,6,1,1,0,1,84,8.3,16:58,51.9
106,Vincent Trocheck,2021-22,CAR,R,C,31,7,14,21,+8,41,0.68,4,15,3,6,0,0,0,1,54,13.0,17:40,55.7
107,Kevin Fiala,2021-22,MIN,L,L,31,7,14,21,0,14,0.68,5,15,2,6,0,0,0,1,103,6.8,17:23,22.2
108,Mathew Barzal,2021-22,NYI,R,C,25,6,15,21,-1,10,0.84,6,14,0,7,0,0,0,0,64,9.4,18:31,49.4
109,Mitchell Marner,2021-22,TOR,R,R,25,6,15,21,+5,4,0.84,5,13,0,7,1,1,0,3,62,9.7,20:44,60.0
110,Rasmus Dahlin,2021-22,BUF,L,D,33,6,15,21,-9,24,0.64,4,14,2,7,0,0,0,1,74,8.1,23:55,--
111,Phil Kessel,2021-22,ARI,R,R,30,5,16,21,-4,10,0.70,3,15,2,6,0,0,0,0,66,7.6,17:28,25.0
112,Devon Toews,2021-22,COL,L,D,17,5,16,21,+21,4,1.24,3,15,2,6,0,0,0,0,35,14.3,24:55,--
113,Moritz Seider,2021-22,DET,R,D,33,3,18,21,-1,22,0.64,3,13,0,8,0,0,2,2,60,5.0,22:27,--
114,Alex Goligoski,2021-22,MIN,L,D,28,2,19,21,+16,18,0.75,2,18,0,3,0,0,0,0,32,6.3,19:46,--
115,Adrian Kempe,2021-22,LAK,L,C,33,14,6,20,-6,22,0.61,11,14,2,5,1,1,1,4,98,14.3,18:07,56.0
116,Marcus Foligno,2021-22,MIN,L,L,31,13,7,20,+14,50,0.65,9,15,4,5,0,0,0,2,48,27.1,16:42,57.1
117,Boone Jenner,2021-22,CBJ,L,C,30,12,8,20,-6,10,0.67,7,14,5,6,0,0,0,1,78,15.4,20:15,54.7
118,Zach Hyman,2021-22,EDM,R,L,29,11,9,20,-5,16,0.69,7,13,3,5,1,2,0,1,76,14.5,19:03,62.9
119,Bo Horvat,2021-22,VAN,L,C,34,11,9,20,-1,16,0.59,7,14,4,6,0,0,0,1,97,11.3,20:12,56.6
120,Joel Eriksson Ek,2021-22,MIN,L,C,30,11,9,20,+8,16,0.67,5,14,6,6,0,0,1,1,89,12.4,18:43,48.0
121,Tanner Jeannot,2021-22,NSH,L,L,33,10,10,20,+4,45,0.61,9,18,1,2,0,0,1,2,52,19.2,15:40,35.7
122,Alex Iafallo,2021-22,LAK,L,L,33,10,10,20,+3,4,0.61,9,16,1,3,0,1,1,2,96,10.4,18:48,47.6
123,David Perron,2021-22,STL,R,L,22,8,12,20,-2,12,0.91,5,11,3,9,0,0,0,1,58,13.8,17:19,33.3
124,Mark Scheifele,2021-22,WPG,R,C,25,8,12,20,-6,2,0.80,6,14,2,6,0,0,1,1,58,13.8,21:33,47.7
125,Dougie Hamilton,2021-22,NJD,R,D,30,7,13,20,-9,22,0.67,5,13,2,7,0,0,0,0,108,6.5,21:25,--
126,Kevin Shattenkirk,2021-22,ANA,R,D,35,6,14,20,+4,14,0.57,5,10,1,10,0,0,0,0,66,9.1,19:37,--
127,Jaden Schwartz,2021-22,SEA,L,C,29,6,14,20,-12,10,0.69,5,17,1,3,0,0,0,0,70,8.6,18:28,46.2
128,Zach Werenski,2021-22,CBJ,L,D,30,6,14,20,-2,8,0.67,3,12,3,7,0,1,0,1,92,6.5,26:34,--
129,Nico Hischier,2021-22,NJD,L,C,28,6,14,20,+3,15,0.71,5,16,1,3,0,1,1,1,55,10.9,19:04,53.5
130,Shayne Gostisbehere,2021-22,ARI,L,D,30,5,15,20,-7,6,0.67,5,14,0,6,0,0,0,0,65,7.7,21:55,--
131,Charlie McAvoy,2021-22,BOS,R,D,27,5,15,20,+7,23,0.74,3,12,2,8,0,0,0,1,58,8.6,24:23,--
132,Sidney Crosby,2021-22,PIT,L,C,19,4,16,20,+4,4,1.05,4,14,0,6,0,0,0,2,50,8.0,19:24,47.7
133,Jared McCann,2021-22,SEA,L,L,28,13,6,19,-10,10,0.68,8,13,5,6,0,0,0,0,71,18.3,15:32,48.7
134,Alexandre Texier,2021-22,CBJ,L,C,30,11,8,19,+4,6,0.63,10,17,0,0,1,2,0,0,52,21.2,15:05,33.3
135,Dawson Mercer,2021-22,NJD,R,C,33,9,10,19,0,16,0.58,7,16,1,2,1,1,0,0,63,14.3,16:14,36.2
136,Yanni Gourde,2021-22,SEA,L,C,25,8,11,19,-6,11,0.76,7,15,1,3,0,1,0,0,48,16.7,18:57,51.2
137,Michael Bunting,2021-22,TOR,L,L,31,7,12,19,0,24,0.61,5,16,2,3,0,0,0,1,64,10.9,14:48,33.3
138,Nick Suzuki,2021-22,MTL,R,C,34,7,12,19,-15,8,0.56,3,12,3,6,1,1,0,2,79,8.9,20:08,47.5
139,Martin Necas,2021-22,CAR,R,C,29,7,12,19,+6,12,0.66,6,16,1,3,0,0,1,4,59,11.9,16:58,48.2
140,Evan Bouchard,2021-22,EDM,R,D,32,6,13,19,+8,14,0.59,6,16,0,2,0,1,0,0,76,7.9,21:20,--
141,Ryan O'Reilly,2021-22,STL,L,C,29,5,14,19,-3,2,0.66,3,15,2,4,0,0,0,0,73,6.9,20:01,56.8
142,Victor Olofsson,2021-22,BUF,L,L,25,5,14,19,-9,4,0.76,4,15,1,4,0,0,0,0,58,8.6,16:56,--
143,Travis Konecny,2021-22,PHI,R,R,32,5,14,19,-8,32,0.59,3,13,2,6,0,0,0,1,87,5.8,17:08,50.0
144,Brent Burns,2021-22,SJS,R,D,33,4,15,19,-3,22,0.58,2,13,2,5,0,1,0,0,87,4.6,25:52,--
145,Alexander Kerfoot,2021-22,TOR,L,C,31,4,15,19,+16,4,0.61,4,18,0,0,0,1,0,1,48,8.3,15:17,40.3
146,MacKenzie Weegar,2021-22,FLA,R,D,32,1,18,19,+17,36,0.59,1,17,0,1,0,1,0,0,73,1.4,23:49,--
147,Jeff Skinner,2021-22,BUF,L,L,31,10,8,18,-7,4,0.58,9,15,1,3,0,0,0,1,92,10.9,16:52,34.4
148,Brayden Point,2021-22,TBL,R,C,20,10,8,18,+1,7,0.90,8,13,2,5,0,0,1,2,53,18.9,20:11,46.0
149,Anthony Cirelli,2021-22,TBL,L,C,29,9,9,18,+3,27,0.62,6,14,3,4,0,0,0,1,60,15.0,20:13,47.4
150,Viktor Arvidsson,2021-22,LAK,R,L,26,8,10,18,+1,16,0.69,5,13,3,5,0,0,0,0,94,8.5,17:34,50.0
151,Nicolas Roy,2021-22,VGK,R,C,32,7,11,18,+11,33,0.56,7,17,0,1,0,0,0,1,63,11.1,16:45,47.0
152,Cam Fowler,2021-22,ANA,L,D,34,5,13,18,-1,6,0.53,1,8,4,10,0,0,0,0,60,8.3,23:10,--
153,Alexander Barabanov,2021-22,SJS,L,L,28,5,13,18,-4,2,0.64,4,15,1,3,0,0,1,1,32,15.6,16:32,0.0
154,Miro Heiskanen,2021-22,DAL,L,D,28,4,14,18,-6,10,0.64,2,11,2,7,0,0,1,1,71,5.6,24:32,--
155,Jaccob Slavin,2021-22,CAR,L,D,31,1,17,18,+9,6,0.58,1,12,0,5,0,1,0,0,66,1.5,23:58,--
156,Sam Bennett,2021-22,FLA,L,C,26,11,6,17,+12,31,0.65,8,12,3,4,0,1,0,4,98,11.2,18:30,48.5
157,Nino Niederreiter,2021-22,CAR,L,R,25,10,7,17,+10,2,0.68,7,13,3,4,0,0,0,4,54,18.5,14:22,36.4
158,Jeff Carter,2021-22,PIT,R,C,27,9,8,17,-1,20,0.63,8,14,1,3,0,0,1,1,87,10.3,18:48,58.8
159,Vladislav Namestnikov,2021-22,DET,L,C,33,9,8,17,+1,23,0.52,9,17,0,0,0,0,0,0,44,20.5,15:04,44.4
160,Brock Boeser,2021-22,VAN,R,R,28,9,8,17,-5,4,0.61,6,10,3,6,0,1,0,2,76,11.8,18:36,54.6
161,Sean Couturier,2021-22,PHI,L,C,29,6,11,17,-6,14,0.59,4,11,2,5,0,1,0,2,79,7.6,20:23,55.6
162,Jonathan Drouin,2021-22,MTL,L,L,27,6,11,17,-8,8,0.63,6,14,0,3,0,0,0,0,50,12.0,17:33,43.2
163,Elias Pettersson,2021-22,VAN,L,C,34,6,11,17,-1,6,0.50,2,7,3,9,1,1,0,1,75,8.0,18:20,40.0
164,Tyler Toffoli,2021-22,MTL,R,R,26,5,12,17,-4,4,0.65,3,14,2,3,0,0,0,0,64,7.8,17:22,41.7
165,Phillip Danault,2021-22,LAK,L,C,31,5,12,17,+8,16,0.55,5,16,0,1,0,0,0,1,71,7.0,18:04,55.4
166,Torey Krug,2021-22,STL,L,D,28,5,12,17,+12,20,0.61,2,8,2,8,1,1,0,1,49,10.2,20:34,--
167,Dmitry Orlov,2021-22,WSH,L,D,34,4,13,17,+20,30,0.50,3,16,1,1,0,0,0,3,51,7.8,20:58,--
168,Connor Brown,2021-22,OTT,R,R,25,4,13,17,-10,4,0.68,4,10,0,5,0,2,0,0,40,10.0,19:59,46.5
169,Oliver Kylington,2021-22,CGY,L,D,29,4,13,17,+9,4,0.59,4,15,0,2,0,0,0,0,50,8.0,18:20,--
170,Tyson Barrie,2021-22,EDM,R,D,32,3,14,17,-6,8,0.53,1,8,2,9,0,0,0,0,63,4.8,19:39,--
171,Alex Wennberg,2021-22,SEA,L,C,33,3,14,17,-13,12,0.52,3,13,0,4,0,0,0,1,45,6.7,19:04,47.5
172,Blake Wheeler,2021-22,WPG,R,R,22,1,16,17,-1,14,0.77,0,12,1,5,0,0,0,0,55,1.8,19:24,20.0
173,Nate Schmidt,2021-22,WPG,L,D,30,1,16,17,0,4,0.57,1,8,0,9,0,0,0,1,48,2.1,21:27,--
174,Thomas Chabot,2021-22,OTT,L,D,29,1,16,17,0,14,0.59,1,11,0,6,0,0,0,0,78,1.3,27:13,--
175,Valeri Nichushkin,2021-22,COL,L,R,18,10,6,16,+10,2,0.89,7,13,1,1,2,2,0,1,47,21.3,18:07,0.0
176,Danton Heinen,2021-22,PIT,L,L,31,9,7,16,+5,10,0.52,7,14,2,2,0,0,0,1,55,16.4,12:51,--
177,Pavel Zacha,2021-22,NJD,L,C,33,9,7,16,-14,10,0.48,7,11,2,5,0,0,1,1,82,11.0,17:53,46.1
178,Corey Perry,2021-22,TBL,R,R,34,8,8,16,+1,37,0.47,6,14,2,2,0,0,0,1,74,10.8,14:11,0.0
179,Paul Stastny,2021-22,WPG,L,C,23,8,8,16,+9,8,0.70,6,13,2,3,0,0,0,2,36,22.2,17:39,56.5
180,Charlie Coyle,2021-22,BOS,R,C,28,8,8,16,-1,10,0.57,7,12,1,4,0,0,1,3,51,15.7,17:38,45.9
181,Conor Sheary,2021-22,WSH,L,L,28,8,8,16,+1,4,0.57,7,14,1,2,0,0,0,3,50,16.0,15:50,42.9
182,Ondrej Kase,2021-22,TOR,R,R,28,8,8,16,+4,12,0.57,7,12,1,4,0,0,0,0,77,10.4,14:05,20.0
183,Brandon Hagel,2021-22,CHI,L,L,29,8,8,16,-8,6,0.55,7,14,1,2,0,0,0,1,48,16.7,16:07,36.4
184,Jack Hughes,2021-22,NJD,L,C,16,8,8,16,-4,0,1.00,7,14,1,2,0,0,2,2,41,19.5,18:12,29.2
185,Kasperi Kapanen,2021-22,PIT,R,R,30,7,9,16,+6,6,0.53,7,13,0,3,0,0,0,2,62,11.3,16:54,--
186,Isac Lundestrom,2021-22,ANA,L,C,35,7,9,16,+7,0,0.46,5,14,0,0,2,2,0,2,48,14.6,16:01,46.6
187,Anton Lundell,2021-22,FLA,L,C,28,7,9,16,+7,8,0.57,7,15,0,1,0,0,0,2,52,13.5,16:29,44.6
188,Lars Eller,2021-22,WSH,L,C,27,6,10,16,+10,18,0.59,6,15,0,1,0,0,0,0,44,13.6,17:50,49.0
189,Adam Henrique,2021-22,ANA,L,C,24,6,10,16,+5,4,0.67,4,11,2,5,0,0,0,0,68,8.8,16:52,57.0
190,Taylor Hall,2021-22,BOS,L,L,28,6,10,16,-2,12,0.57,4,11,2,5,0,0,0,0,73,8.2,16:01,20.0
191,Pius Suter,2021-22,DET,L,C,33,6,10,16,-5,2,0.48,6,13,0,3,0,0,0,1,70,8.6,16:42,48.9
192,Drew Doughty,2021-22,LAK,R,D,14,3,13,16,+5,10,1.14,0,9,3,7,0,0,0,0,30,10.0,25:14,--
193,Samuel Girard,2021-22,COL,L,D,26,3,13,16,0,16,0.62,3,13,0,3,0,0,0,0,41,7.3,22:14,--
194,Filip Hronek,2021-22,DET,R,D,31,3,13,16,-9,26,0.52,2,13,1,3,0,0,0,0,53,5.7,22:42,--
195,Neal Pionk,2021-22,WPG,R,D,28,2,14,16,+5,14,0.57,1,10,1,6,0,0,0,1,66,3.0,22:14,--
196,Rasmus Andersson,2021-22,CGY,R,D,30,0,16,16,+16,12,0.53,0,9,0,6,0,1,0,0,51,0.0,22:36,--
