#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Connor McDavid,2021-22,EDM,L,C,32,19,34,53,+6,27,1.66,14,31,5,22,0,0,0,1,119,16.0,22:37,52.1
2,Leon Draisaitl,2021-22,EDM,L,C,32,25,27,52,+9,20,1.63,11,30,13,21,1,1,1,6,105,23.8,22:56,54.7
3,Alex Ovechkin,2021-22,WSH,R,L,34,24,26,50,+19,6,1.47,17,38,6,11,1,1,0,3,159,15.1,22:08,60.0
4,Jonathan Huberdeau,2021-22,FLA,L,L,32,11,30,41,+10,22,1.28,8,28,2,11,1,2,0,2,82,13.4,19:16,35.7
5,Steven Stamkos,2021-22,TBL,R,C,33,16,23,39,+5,10,1.18,9,28,7,11,0,0,2,3,94,17.0,18:24,52.4
6,Kirill Kaprizov,2021-22,MIN,L,L,31,13,26,39,+12,10,1.26,12,32,1,7,0,0,1,2,108,12.0,19:25,40.0
7,Nazem Kadri,2021-22,COL,L,C,25,11,28,39,+7,30,1.56,6,24,5,15,0,0,0,1,77,14.3,18:28,50.1
8,Johnny Gaudreau,2021-22,CGY,L,L,30,13,23,36,+21,6,1.20,11,29,2,7,0,0,0,3,100,13.0,18:44,100.0
9,J.T. Miller,2021-22,VAN,L,C,34,11,25,36,+3,18,1.06,7,20,4,16,0,0,2,2,84,13.1,21:15,53.1
10,Artemi Panarin,2021-22,NYR,R,L,31,10,26,36,+5,14,1.16,8,23,2,13,0,0,1,3,77,13.0,19:19,0.0
11,Kyle Connor,2021-22,WPG,L,L,31,19,15,34,-1,2,1.10,17,25,2,9,0,0,1,3,129,14.7,21:13,0.0
12,Sebastian Aho,2021-22,CAR,L,C,28,15,19,34,+12,12,1.21,9,22,6,10,0,2,1,1,90,16.7,19:26,55.0
13,Timo Meier,2021-22,SJS,L,R,28,13,21,34,+11,2,1.21,10,30,3,4,0,0,1,5,119,10.9,18:27,33.3
14,Chandler Stephenson,2021-22,VGK,L,C,34,10,24,34,+9,14,1.00,8,26,1,6,1,2,0,2,54,18.5,19:38,46.8
15,Victor Hedman,2021-22,TBL,L,D,34,7,27,34,+7,20,1.00,5,23,2,11,0,0,0,2,93,7.5,25:15,--
16,Auston Matthews,2021-22,TOR,L,C,28,20,13,33,+3,6,1.18,12,18,8,15,0,0,1,4,124,16.1,20:32,56.8
17,William Nylander,2021-22,TOR,R,R,31,15,18,33,+4,6,1.06,10,19,5,14,0,0,2,4,112,13.4,18:44,61.9
18,Mikko Rantanen,2021-22,COL,L,R,25,15,18,33,+13,16,1.32,8,20,7,13,0,0,0,0,87,17.2,20:20,48.4
19,Vladimir Tarasenko,2021-22,STL,L,R,33,14,19,33,+3,10,1.00,12,22,2,10,0,1,0,4,116,12.1,17:25,60.0
20,John Tavares,2021-22,TOR,L,C,30,13,20,33,+7,14,1.10,8,23,5,10,0,0,0,1,97,13.4,18:26,60.5
21,Evgeny Kuznetsov,2021-22,WSH,L,C,31,11,22,33,+12,14,1.06,8,20,1,9,2,4,0,3,81,13.6,21:59,44.5
22,Adam Fox,2021-22,NYR,R,D,33,5,28,33,+6,14,1.00,4,17,0,15,1,1,0,1,64,7.8,24:44,--
23,Jordan Kyrou,2021-22,STL,R,C,29,12,20,32,+6,4,1.10,10,22,2,9,0,1,0,1,75,16.0,16:27,50.0
24,John Carlson,2021-22,WSH,R,D,34,8,24,32,+16,4,0.94,5,22,3,8,0,2,0,1,84,9.5,23:41,--
25,Troy Terry,2021-22,ANA,R,R,34,18,13,31,+1,12,0.91,13,22,5,9,0,0,2,4,79,22.8,17:07,0.0
26,Chris Kreider,2021-22,NYR,L,L,33,19,11,30,+4,12,0.91,8,14,11,16,0,0,0,1,95,20.0,18:35,50.0
27,Dylan Larkin,2021-22,DET,L,C,29,15,15,30,+2,16,1.03,12,25,3,5,0,0,2,3,83,18.1,18:54,55.0
28,Brad Marchand,2021-22,BOS,L,L,23,11,19,30,+5,45,1.30,7,18,3,11,1,1,0,1,67,16.4,19:22,22.2
29,Roman Josi,2021-22,NSH,L,D,31,11,19,30,+7,20,0.97,5,16,6,14,0,0,0,1,112,9.8,24:38,--
30,Mika Zibanejad,2021-22,NYR,R,C,33,11,19,30,+4,8,0.91,5,16,6,13,0,1,0,1,98,11.2,19:48,51.6
