#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Joe Thornton,2005-06,"BOS,SJS",L,C,81,29,96,125,+31,61,1.54,18,72,11,51,0,2,1,6,195,14.9,21:20,51.3
2,Jaromir Jagr,2005-06,NYR,L,R,82,54,69,123,+34,72,1.50,30,71,24,52,0,0,2,9,368,14.7,22:05,16.7
3,Alex Ovechkin,2005-06,WSH,R,L,81,52,54,106,+2,52,1.31,28,51,21,52,3,3,2,5,425,12.2,21:37,12.5
4,Dany Heatley,2005-06,OTT,L,L,82,50,53,103,+29,86,1.26,25,56,23,43,2,4,0,7,300,16.7,21:09,53.6
5,Daniel Alfredsson,2005-06,OTT,R,R,77,43,60,103,+29,50,1.34,22,49,16,48,5,6,0,8,249,17.3,21:41,20.5
6,Sidney Crosby,2005-06,PIT,L,C,81,39,63,102,-1,110,1.26,23,53,16,47,0,2,3,5,278,14.0,20:08,45.5
7,Eric Staal,2005-06,CAR,L,C,82,45,55,100,-8,81,1.22,22,56,19,40,4,4,0,4,279,16.1,19:39,42.6
8,Ilya Kovalchuk,2005-06,ATL,R,L,78,52,46,98,-6,68,1.26,25,41,27,56,0,1,0,7,323,16.1,22:11,40.4
9,Marc Savard,2005-06,ATL,L,C,82,28,69,97,+7,100,1.18,13,44,14,50,1,3,2,4,212,13.2,20:30,51.6
10,Jonathan Cheechoo,2005-06,SJS,R,R,82,56,37,93,+23,58,1.13,30,50,24,41,2,2,0,11,317,17.7,19:57,20.0
11,Marian Hossa,2005-06,ATL,L,R,80,39,53,92,+17,67,1.15,18,45,14,39,7,8,1,7,341,11.4,21:41,26.7
12,Brad Richards,2005-06,TBL,L,C,82,23,68,91,0,32,1.11,12,40,7,46,4,5,0,0,282,8.2,22:45,50.2
13,Teemu Selanne,2005-06,ANA,R,R,80,40,50,90,+28,44,1.13,22,50,18,40,0,0,0,5,267,15.0,17:48,41.6
14,Jason Spezza,2005-06,OTT,R,C,68,19,71,90,+23,33,1.32,12,49,7,41,0,0,1,5,156,12.2,19:00,52.6
15,Brian Gionta,2005-06,NJD,R,R,82,48,41,89,+18,46,1.09,23,54,24,34,1,1,3,10,291,16.5,19:49,38.4
16,Olli Jokinen,2005-06,FLA,L,C,82,38,51,89,+14,88,1.09,23,51,14,37,1,1,4,9,351,10.8,20:29,46.9
17,Joe Sakic,2005-06,COL,L,C,82,32,55,87,+10,60,1.06,22,53,10,34,0,0,1,6,263,12.2,19:55,52.5
18,Pavel Datsyuk,2005-06,DET,L,C,75,28,59,87,+26,22,1.16,17,48,11,39,0,0,1,4,145,19.3,17:53,53.1
