#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Sidney Crosby,2006-07,PIT,L,C,79,36,84,120,+10,60,1.52,23,59,13,61,0,0,0,4,250,14.4,20:46,49.8
2,Joe Thornton,2006-07,SJS,L,C,82,22,92,114,+24,44,1.39,12,60,10,54,0,0,0,5,213,10.3,20:19,51.1
3,Vincent Lecavalier,2006-07,TBL,L,C,82,52,56,108,+2,44,1.32,31,63,16,36,5,9,1,7,339,15.3,22:36,46.6
4,Dany Heatley,2006-07,OTT,L,L,82,50,55,105,+31,74,1.28,30,62,17,39,3,4,0,10,310,16.1,21:02,38.3
5,Martin St. Louis,2006-07,TBL,L,R,82,43,59,102,+7,28,1.24,24,61,14,30,5,11,2,7,273,15.8,24:09,35.0
6,Marian Hossa,2006-07,ATL,L,R,82,43,57,100,+18,49,1.22,23,52,17,44,3,4,0,5,340,12.7,21:41,22.2
7,Joe Sakic,2006-07,COL,L,C,82,36,64,100,+2,46,1.22,20,57,16,43,0,0,1,4,258,14.0,20:11,53.1
8,Jaromir Jagr,2006-07,NYR,L,R,82,30,66,96,+26,78,1.17,23,55,7,41,0,0,1,5,324,9.3,21:46,16.7
9,Marc Savard,2006-07,BOS,L,C,82,22,74,96,-19,96,1.17,11,46,10,49,1,1,0,3,221,10.0,20:13,50.1
10,Daniel Briere,2006-07,BUF,R,C,81,32,63,95,+17,89,1.17,23,65,9,30,0,0,3,6,234,13.7,19:19,49.6
11,Teemu Selanne,2006-07,ANA,R,R,82,48,46,94,+26,82,1.15,23,46,25,48,0,0,2,10,257,18.7,17:42,50.7
12,Jarome Iginla,2006-07,CGY,R,R,70,39,55,94,+12,40,1.34,25,60,13,33,1,1,0,7,264,14.8,22:04,53.0
13,Alex Ovechkin,2006-07,WSH,R,L,82,46,46,92,-19,52,1.12,30,55,16,37,0,0,1,8,392,11.7,21:23,47.1
14,Olli Jokinen,2006-07,FLA,L,C,82,39,52,91,+18,78,1.11,29,62,9,28,1,1,1,8,351,11.1,20:32,44.3
15,Jason Spezza,2006-07,OTT,R,C,67,34,53,87,+19,45,1.30,20,52,13,33,1,2,0,5,162,21.0,19:17,53.0
16,Daniel Alfredsson,2006-07,OTT,R,R,77,29,58,87,+42,42,1.13,20,58,7,25,2,4,0,7,240,12.1,21:35,34.9
17,Pavel Datsyuk,2006-07,DET,L,C,79,27,60,87,+36,20,1.10,20,55,5,29,2,3,1,5,207,13.0,19:57,56.2
18,Evgeni Malkin,2006-07,PIT,L,C,78,33,52,85,+2,80,1.09,17,45,16,40,0,0,1,6,242,13.6,19:10,43.3
19,Thomas Vanek,2006-07,BUF,R,L,82,43,41,84,+47,40,1.02,28,62,15,22,0,0,1,5,237,18.1,16:47,28.2
20,Daniel Sedin,2006-07,VAN,L,L,81,36,48,84,+19,36,1.04,20,50,16,34,0,0,4,8,236,15.3,18:04,22.7
