#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
21,Ray Whitney,2006-07,CAR,R,L,81,32,51,83,-5,46,1.02,26,53,6,30,0,0,1,6,215,14.9,18:42,28.6
22,Andrew Brunette,2006-07,COL,L,L,82,27,56,83,-8,36,1.01,18,47,9,36,0,0,0,2,173,15.6,17:31,62.5
23,Michael Nylander,2006-07,NYR,L,C,79,26,57,83,+12,42,1.05,12,46,14,37,0,0,1,4,193,13.5,20:23,47.5
24,Rod Brind'Amour,2006-07,CAR,L,C,78,26,56,82,+7,46,1.05,15,47,9,30,2,5,1,5,181,14.4,23:19,59.3
25,Alex Tanguay,2006-07,CGY,L,L,81,22,59,81,+12,44,1.00,17,60,5,21,0,0,0,0,107,20.6,17:40,25.0
26,Henrik Sedin,2006-07,VAN,L,C,82,10,71,81,+19,66,0.99,9,46,1,35,0,0,1,2,134,7.5,18:26,52.5
27,Michael Cammalleri,2006-07,LAK,L,L,81,34,46,80,+5,48,0.99,18,43,16,37,0,0,1,5,299,11.4,18:03,54.2
28,Vyacheslav Kozlov,2006-07,ATL,L,L,81,28,52,80,+9,36,0.99,20,41,8,37,0,2,2,8,190,14.7,20:29,46.9
29,Patrick Marleau,2006-07,SJS,L,C,77,32,46,78,+9,33,1.01,18,41,14,37,0,0,0,9,180,17.8,18:34,50.5
30,Paul Stastny,2006-07,COL,L,C,82,28,50,78,+4,42,0.95,17,46,11,31,0,1,0,6,185,15.1,18:10,48.5
31,Andy McDonald,2006-07,ANA,L,C,82,27,51,78,+16,46,0.95,19,45,8,33,0,0,1,3,252,10.7,17:35,55.4
32,Kristian Huselius,2006-07,CGY,L,L,81,34,43,77,+21,26,0.95,18,39,14,34,2,4,0,6,173,19.7,17:23,28.6
33,Daymond Langkow,2006-07,CGY,L,C,81,33,44,77,+23,44,0.95,22,47,10,27,1,3,0,6,247,13.4,20:07,45.9
34,Ilya Kovalchuk,2006-07,ATL,R,L,82,42,34,76,-2,66,0.93,24,44,18,32,0,0,2,7,336,12.5,21:21,39.4
35,Mats Sundin,2006-07,TOR,R,C,75,27,49,76,-2,62,1.01,20,41,6,34,1,1,1,3,321,8.4,20:28,55.2
36,Paul Kariya,2006-07,NSH,L,L,82,24,52,76,+6,36,0.93,19,51,5,25,0,0,0,2,224,10.7,20:23,0.0
37,Saku Koivu,2006-07,MTL,L,C,81,22,53,75,-21,74,0.93,10,29,11,43,1,3,0,4,154,14.3,18:07,54.9
38,Alexander Semin,2006-07,WSH,R,R,77,38,35,73,-7,90,0.95,21,35,17,38,0,0,1,6,243,15.6,18:24,27.3
39,Alex Frolov,2006-07,LAK,R,L,82,35,36,71,-8,34,0.87,24,40,10,28,1,3,1,6,195,18.0,19:56,36.8
40,Milan Hejduk,2006-07,COL,R,R,80,35,35,70,+10,44,0.88,22,45,12,24,1,1,1,6,257,13.6,17:53,45.0
41,Eric Staal,2006-07,CAR,L,C,82,30,40,70,-6,68,0.85,17,43,12,26,1,1,0,1,288,10.4,20:08,45.2
42,Martin Straka,2006-07,NYR,L,C,77,29,41,70,+16,24,0.91,21,41,8,28,0,1,1,6,165,17.6,19:57,40.4
43,Brad Richards,2006-07,TBL,L,C,82,25,45,70,-19,23,0.85,12,35,12,33,1,2,0,3,272,9.2,23:44,51.4
44,Patrice Bergeron,2006-07,BOS,R,C,77,22,48,70,-28,26,0.91,8,30,14,38,0,2,1,6,224,9.8,20:49,51.2
45,Jason Blake,2006-07,NYI,L,L,82,40,29,69,+1,34,0.84,26,47,14,22,0,0,0,7,305,13.1,18:09,57.3
46,Chris Drury,2006-07,BUF,R,C,77,37,32,69,+1,30,0.90,17,39,17,27,3,3,1,9,199,18.6,18:47,58.8
47,Jonathan Cheechoo,2006-07,SJS,R,R,76,37,32,69,+11,69,0.91,22,39,15,30,0,0,0,5,250,14.8,17:34,31.3
48,Patrik Elias,2006-07,NJD,L,C,75,21,48,69,+1,38,0.92,13,38,8,31,0,0,1,5,267,7.9,18:37,38.9
49,Scott Niedermayer,2006-07,ANA,L,D,79,15,54,69,+6,86,0.87,6,35,9,34,0,0,1,3,172,8.7,26:52,100.0
50,Simon Gagne,2006-07,PHI,L,L,76,41,27,68,+2,30,0.89,26,44,13,21,2,3,2,4,291,14.1,21:02,42.9
51,Ryan Smyth,2006-07,"EDM,NYI",L,L,71,36,32,68,+2,52,0.96,20,44,15,22,1,2,0,5,210,17.1,20:44,44.4
52,Jason Pominville,2006-07,BUF,R,R,82,34,34,68,+25,30,0.83,30,51,2,13,2,4,0,5,212,16.0,17:25,42.9
53,Henrik Zetterberg,2006-07,DET,L,C,63,33,35,68,+26,36,1.08,21,41,11,24,1,3,1,10,224,14.7,20:50,52.5
54,Mark Recchi,2006-07,PIT,L,R,82,24,44,68,+1,62,0.83,10,40,14,27,0,1,0,3,190,12.6,19:42,46.2
55,Justin Williams,2006-07,CAR,R,R,82,33,34,67,-11,73,0.82,19,38,12,24,2,5,1,8,258,12.8,20:51,37.5
56,Sergei Gonchar,2006-07,PIT,L,D,82,13,54,67,-5,72,0.82,2,16,10,48,1,3,1,3,191,6.8,26:34,--
57,Milan Michalek,2006-07,SJS,L,L,78,26,40,66,+17,36,0.85,15,39,11,26,0,1,0,9,191,13.6,16:46,18.2
58,J-P Dumont,2006-07,NSH,L,R,82,21,45,66,+14,28,0.80,16,47,5,19,0,0,0,3,143,14.7,16:12,16.7
59,Brian Rolston,2006-07,MIN,L,R,78,31,33,64,+6,46,0.82,17,28,13,34,1,2,0,6,305,10.2,21:16,45.4
60,Sheldon Souray,2006-07,MTL,L,D,81,26,38,64,-28,135,0.79,6,13,19,48,1,3,2,6,224,11.6,23:11,100.0
61,Pavol Demitra,2006-07,MIN,L,R,71,25,39,64,0,28,0.90,15,36,9,26,1,2,0,4,175,14.3,20:39,47.8
62,David Vyborny,2006-07,CBJ,L,R,82,16,48,64,+6,60,0.78,10,37,6,27,0,0,2,2,158,10.1,20:20,37.9
63,David Legwand,2006-07,NSH,L,C,78,27,36,63,+23,44,0.81,23,50,3,10,1,3,0,7,153,17.7,18:22,45.3
64,Derek Roy,2006-07,BUF,L,C,75,21,42,63,+37,60,0.84,14,47,6,14,1,2,0,3,130,16.2,18:28,48.5
65,Dan Boyle,2006-07,TBL,R,D,82,20,43,63,-5,62,0.77,9,25,10,37,1,1,1,4,203,9.9,26:51,0.0
66,Nathan Horton,2006-07,FLA,R,R,82,31,31,62,+15,61,0.76,23,48,7,13,1,1,1,3,217,14.3,18:04,48.4
67,Zach Parise,2006-07,NJD,L,L,82,31,31,62,-3,30,0.76,22,40,9,22,0,0,0,7,247,12.6,17:32,44.2
68,Brendan Shanahan,2006-07,NYR,R,L,67,29,33,62,+2,47,0.93,12,27,14,31,3,4,0,3,295,9.8,19:49,48.0
69,Nicklas Lidstrom,2006-07,DET,L,D,80,13,49,62,+40,46,0.78,3,26,10,33,0,3,0,1,224,5.8,27:16,--
70,Erik Cole,2006-07,CAR,L,L,71,29,32,61,+2,76,0.86,20,42,9,18,0,1,1,4,166,17.5,18:01,40.7
71,Maxim Afinogenov,2006-07,BUF,L,R,56,23,38,61,+19,66,1.09,16,41,7,20,0,0,0,3,151,15.2,17:03,66.7
72,Anze Kopitar,2006-07,LAK,L,C,72,20,41,61,-12,24,0.85,11,30,7,29,2,2,0,1,193,10.4,20:32,46.1
73,Chris Kunitz,2006-07,ANA,L,L,81,25,35,60,+23,81,0.74,14,40,11,20,0,0,0,5,180,13.9,17:03,30.8
74,Markus Naslund,2006-07,VAN,L,L,82,24,36,60,+3,54,0.73,15,32,9,28,0,0,0,5,222,10.8,17:44,50.0
75,Dainius Zubrus,2006-07,"WSH,BUF",L,C,79,24,36,60,-19,62,0.76,14,37,10,23,0,0,1,4,158,15.2,19:29,49.1
76,Jamie Langenbrunner,2006-07,NJD,R,R,82,23,37,60,-9,64,0.73,11,38,12,22,0,0,0,7,243,9.5,18:33,34.8
77,Steve Sullivan,2006-07,NSH,R,L,57,22,38,60,+16,20,1.05,13,33,6,23,3,4,1,4,122,18.0,19:25,38.5
78,Scott Gomez,2006-07,NJD,L,C,72,13,47,60,+7,42,0.83,9,37,4,23,0,0,1,1,248,5.2,18:56,52.2
79,Miroslav Satan,2006-07,NYI,L,R,81,27,32,59,-12,46,0.73,19,37,7,21,1,1,0,2,216,12.5,18:35,55.5
80,Mike Sillinger,2006-07,NYI,R,C,82,26,33,59,+5,46,0.72,13,33,11,23,2,3,0,3,152,17.1,19:19,58.8
81,Mike Ribeiro,2006-07,DAL,L,C,81,18,41,59,+3,22,0.73,12,32,6,27,0,0,1,3,111,16.2,14:56,46.6
82,Doug Weight,2006-07,STL,L,C,82,16,43,59,+10,56,0.72,11,39,5,20,0,0,0,3,123,13.0,18:17,47.7
83,Ryan Whitney,2006-07,PIT,L,D,81,14,45,59,+9,77,0.73,5,25,9,33,0,1,0,2,129,10.9,23:56,20.0
84,Chris Pronger,2006-07,ANA,L,D,66,13,46,59,+27,69,0.89,5,23,8,36,0,0,0,2,166,7.8,26:51,25.0
85,Michael Ryder,2006-07,MTL,R,R,82,30,28,58,-25,60,0.71,11,22,17,34,2,2,0,3,221,13.6,16:17,42.9
86,Keith Tkachuk,2006-07,"STL,ATL",L,L,79,27,31,58,+11,126,0.73,17,38,10,19,0,1,1,4,196,13.8,17:29,50.6
87,Ryan Getzlaf,2006-07,ANA,R,C,82,25,33,58,+17,66,0.71,13,26,11,31,1,1,1,6,203,12.3,15:04,49.4
88,Lubomir Visnovsky,2006-07,LAK,L,D,69,18,40,58,+1,26,0.84,10,25,8,33,0,0,0,0,159,11.3,24:27,33.3
89,Tomas Kaberle,2006-07,TOR,L,D,74,11,47,58,+3,20,0.78,9,27,2,30,0,1,1,1,128,8.6,25:52,--
90,Marian Gaborik,2006-07,MIN,L,R,48,30,27,57,+12,40,1.19,17,34,12,22,1,1,1,7,196,15.3,19:38,0.0
91,Rick Nash,2006-07,CBJ,L,L,75,27,30,57,-8,73,0.76,17,32,9,22,1,3,1,5,228,11.8,19:12,42.7
92,Martin Havlat,2006-07,CHI,L,R,56,25,32,57,+15,28,1.02,20,40,5,16,0,1,0,1,176,14.2,21:24,33.3
93,Jozef Stumpel,2006-07,FLA,R,L,73,23,34,57,+2,22,0.78,12,30,9,25,2,2,0,4,131,17.6,19:07,50.5
94,Pierre-Marc Bouchard,2006-07,MIN,L,C,82,20,37,57,+13,14,0.70,15,33,5,24,0,0,1,3,173,11.6,15:59,33.3
95,Martin Erat,2006-07,NSH,L,R,68,16,41,57,+13,50,0.84,10,38,5,18,1,1,0,3,132,12.1,18:59,44.2
96,Bryan McCabe,2006-07,TOR,L,D,82,15,42,57,+3,115,0.70,4,23,11,34,0,0,1,1,207,7.3,26:50,--
97,Bill Guerin,2006-07,"STL,SJS",R,R,77,36,20,56,+10,66,0.73,27,40,9,16,0,0,2,7,225,16.0,17:00,50.0
98,Jochen Hecht,2006-07,BUF,L,C,76,19,37,56,+19,39,0.74,16,46,3,9,0,1,0,1,197,9.6,18:51,39.3
99,Shane Doan,2006-07,PHX,R,R,73,27,28,55,-14,73,0.75,16,32,11,23,0,0,1,7,209,12.9,20:27,39.1
100,Vinny Prospal,2006-07,TBL,L,L,82,14,41,55,-24,36,0.67,12,43,2,12,0,0,0,1,219,6.4,19:04,52.4
101,Peter Forsberg,2006-07,"PHI,NSH",L,C,57,13,42,55,+7,88,0.96,7,30,6,25,0,0,1,3,99,13.1,18:18,50.0
102,Kimmo Timonen,2006-07,NSH,L,D,80,13,42,55,+20,42,0.69,5,28,8,26,0,1,1,2,121,10.7,21:51,0.0
103,Ladislav Nagy,2006-07,"PHX,DAL",L,L,80,12,43,55,-5,54,0.69,8,31,4,24,0,0,1,1,146,8.2,17:20,29.2
104,Brian Rafalski,2006-07,NJD,R,D,82,8,47,55,+4,34,0.67,4,24,3,30,1,1,0,4,148,5.4,25:04,--
105,Chris Clark,2006-07,WSH,R,R,74,30,24,54,-10,66,0.73,17,34,9,16,4,4,1,2,164,18.3,18:25,50.9
106,Jason Arnott,2006-07,NSH,R,C,68,27,27,54,+15,48,0.79,15,34,12,20,0,0,0,6,190,14.2,17:59,50.6
107,Mike Knuble,2006-07,PHI,R,R,64,24,30,54,+2,56,0.84,14,36,10,18,0,0,0,1,160,15.0,19:38,37.1
108,Mikko Koivu,2006-07,MIN,L,C,82,20,34,54,+6,58,0.66,9,32,9,19,2,3,0,2,162,12.4,17:29,50.9
109,Sergei Zubov,2006-07,DAL,R,D,78,12,42,54,0,26,0.69,3,14,9,40,0,0,0,3,156,7.7,25:57,100.0
110,Petr Sykora,2006-07,EDM,L,R,82,22,31,53,-20,40,0.65,16,28,6,25,0,0,0,6,206,10.7,16:40,48.1
111,Ales Hemsky,2006-07,EDM,R,R,64,13,40,53,-7,40,0.83,8,28,5,25,0,0,0,1,122,10.7,16:59,30.0
112,Tomas Holmstrom,2006-07,DET,L,L,77,30,22,52,+13,58,0.68,17,33,13,19,0,0,0,5,176,17.0,15:13,--
113,Lee Stempniak,2006-07,STL,R,R,82,27,25,52,-2,33,0.63,19,33,8,19,0,0,1,4,166,16.3,14:43,14.3
114,Robert Lang,2006-07,DET,R,C,81,19,33,52,+12,66,0.64,13,35,6,17,0,0,0,4,166,11.5,16:49,49.4
115,Mathieu Schneider,2006-07,DET,L,D,68,11,41,52,+12,66,0.76,8,20,2,31,1,1,0,2,184,6.0,23:35,--
116,Viktor Kozlov,2006-07,NYI,R,C,81,25,26,51,+12,28,0.63,20,38,5,12,0,1,0,4,165,15.2,16:25,39.0
117,Scott Walker,2006-07,CAR,R,R,81,21,30,51,-10,45,0.63,15,39,6,12,0,0,0,6,183,11.5,16:10,42.1
118,Brendan Morrison,2006-07,VAN,L,C,82,20,31,51,-9,60,0.62,12,31,6,18,2,2,1,3,139,14.4,17:57,50.8
119,Philippe Boucher,2006-07,DAL,R,D,76,19,32,51,+2,104,0.67,7,19,12,31,0,1,0,4,222,8.6,22:54,0.0
120,Shawn Horcoff,2006-07,EDM,L,C,80,16,35,51,-22,56,0.64,11,28,5,23,0,0,0,5,168,9.5,20:50,50.6
121,Wojtek Wolski,2006-07,COL,L,L,76,22,28,50,+2,14,0.66,15,32,7,17,0,1,0,2,165,13.3,15:31,100.0
122,Alexei Yashin,2006-07,NYI,R,C,58,18,32,50,+6,44,0.86,13,29,5,21,0,0,0,3,203,8.9,17:04,45.9
123,Dion Phaneuf,2006-07,CGY,L,D,79,17,33,50,+10,98,0.63,4,19,13,31,0,0,0,4,230,7.4,25:28,--
124,Tyler Arnason,2006-07,COL,L,C,82,16,33,49,-8,26,0.60,15,37,1,12,0,0,0,3,211,7.6,14:20,43.8
125,Andrei Markov,2006-07,MTL,L,D,77,6,43,49,+2,56,0.64,1,14,5,32,0,3,0,2,128,4.7,24:29,0.0
126,Mike Fisher,2006-07,OTT,R,C,68,22,26,48,+15,41,0.71,13,32,7,12,2,4,0,3,193,11.4,18:25,52.1
127,Stephen Weiss,2006-07,FLA,L,C,74,20,28,48,-1,28,0.65,10,25,10,21,0,2,0,1,176,11.4,17:07,45.9
128,Michel Ouellet,2006-07,PIT,R,R,73,19,29,48,-3,30,0.66,8,29,11,19,0,0,0,2,148,12.8,13:20,37.5
129,Sean Avery,2006-07,"LAK,NYR",L,L,84,18,30,48,+1,174,0.57,15,31,2,15,1,2,0,2,249,7.2,17:11,49.3
130,Petr Cajanek,2006-07,STL,L,C,77,15,33,48,+9,54,0.62,14,39,1,9,0,0,0,1,167,9.0,16:15,50.3
131,Jussi Jokinen,2006-07,DAL,L,L,82,14,34,48,+8,18,0.59,8,27,6,21,0,0,0,1,121,11.6,13:54,52.2
132,Brian Campbell,2006-07,BUF,L,D,82,6,42,48,+28,35,0.59,5,38,1,9,0,1,0,1,92,6.5,21:53,--
133,Tomas Plekanec,2006-07,MTL,L,C,81,20,27,47,+10,36,0.58,13,29,5,14,2,4,0,1,150,13.3,15:59,48.3
134,Alex Kovalev,2006-07,MTL,L,R,73,18,29,47,-19,78,0.64,10,24,8,22,0,1,0,5,197,9.1,18:15,46.3
135,Matthew Lombardi,2006-07,CGY,L,C,81,20,26,46,+10,48,0.57,11,28,5,13,4,5,0,5,176,11.4,16:22,49.1
136,Brad Boyes,2006-07,"BOS,STL",R,R,81,17,29,46,-17,29,0.57,15,35,1,9,1,2,0,2,182,9.3,16:23,48.2
137,Dustin Brown,2006-07,LAK,R,R,81,17,29,46,-21,54,0.57,4,20,13,25,0,1,0,1,195,8.7,18:43,49.4
138,Marc-Andre Bergeron,2006-07,"EDM,NYI",L,D,78,14,32,46,-4,38,0.59,4,21,10,25,0,0,0,4,166,8.4,19:07,--
139,Peter Schaefer,2006-07,OTT,L,L,77,12,34,46,+7,32,0.60,7,32,5,13,0,1,0,2,132,9.1,16:44,28.6
140,Dustin Penner,2006-07,ANA,L,L,82,29,16,45,-2,58,0.55,20,29,9,16,0,0,0,5,204,14.2,13:59,46.6
141,Glen Murray,2006-07,BOS,R,R,59,28,17,45,-12,44,0.76,16,27,12,18,0,0,2,4,201,13.9,18:45,52.6
142,Brian Gionta,2006-07,NJD,R,R,62,25,20,45,-3,36,0.73,14,27,11,18,0,0,0,4,194,12.9,18:49,38.7
143,Alexei Ponikarovsky,2006-07,TOR,L,L,71,21,24,45,+8,63,0.63,15,34,6,11,0,0,0,1,198,10.6,17:06,25.0
144,Mike Comrie,2006-07,"PHX,OTT",L,C,65,20,25,45,0,44,0.69,13,30,7,15,0,0,0,3,125,16.0,15:15,49.3
145,Marco Sturm,2006-07,BOS,L,L,76,27,17,44,-24,46,0.58,15,24,10,18,2,2,0,1,224,12.1,18:36,61.5
146,Bryan Smolinski,2006-07,"CHI,VAN",R,C,82,18,26,44,+7,37,0.54,8,27,6,12,4,5,0,3,163,11.0,17:59,50.4
147,Corey Perry,2006-07,ANA,R,R,82,17,27,44,+12,55,0.54,13,24,4,20,0,0,0,3,194,8.8,12:28,42.9
148,Martin Gelinas,2006-07,FLA,L,L,82,14,30,44,+7,36,0.54,7,31,7,13,0,0,1,1,171,8.2,13:26,40.7
149,John-Michael Liles,2006-07,COL,L,D,71,14,30,44,0,24,0.62,6,16,8,28,0,0,0,3,128,10.9,17:46,--
150,Todd White,2006-07,MIN,L,C,77,13,31,44,+8,24,0.57,6,28,6,14,1,2,1,1,162,8.0,17:13,49.2
151,Derek Armstrong,2006-07,LAK,R,C,67,11,33,44,+13,62,0.66,8,35,3,9,0,0,0,0,109,10.1,15:04,47.9
152,Tom Poti,2006-07,NYI,L,D,78,6,38,44,-1,74,0.56,0,11,6,32,0,1,1,1,134,4.5,25:43,--
153,Jere Lehtinen,2006-07,DAL,R,R,73,26,17,43,+5,16,0.59,14,24,11,18,1,1,2,5,194,13.4,19:26,13.9
154,Darcy Tucker,2006-07,TOR,L,R,56,24,19,43,-11,81,0.77,9,22,15,21,0,0,1,6,143,16.8,17:47,40.0
155,Mike Modano,2006-07,DAL,L,C,59,22,21,43,+9,34,0.73,13,24,9,18,0,1,1,7,141,15.6,18:24,52.2
156,Zdeno Chara,2006-07,BOS,L,D,80,11,32,43,-21,100,0.54,2,16,9,26,0,1,1,3,204,5.4,27:33,0.0
157,Joni Pitkanen,2006-07,PHI,L,D,77,4,39,43,-25,88,0.56,3,23,1,18,0,2,0,0,137,2.9,24:33,--
158,Jordan Staal,2006-07,PIT,L,C,81,29,13,42,+16,24,0.52,18,27,4,6,7,9,1,4,131,22.1,14:56,37.1
159,Freddy Modin,2006-07,CBJ,L,L,79,22,20,42,-3,50,0.53,16,30,6,12,0,0,0,4,220,10.0,19:07,46.5
160,Gary Roberts,2006-07,"FLA,PIT",L,L,69,20,22,42,0,97,0.61,14,27,6,15,0,0,0,4,125,16.0,16:43,61.3
161,Jeff O'Neill,2006-07,TOR,R,C,74,20,22,42,+1,54,0.57,14,31,6,11,0,0,0,3,165,12.1,13:43,57.8
162,Sergei Fedorov,2006-07,CBJ,L,C,73,18,24,42,-7,56,0.58,9,20,7,18,2,4,0,2,163,11.0,19:56,52.4
163,Travis Zajac,2006-07,NJD,R,C,80,17,25,42,+1,16,0.53,11,30,6,12,0,0,0,2,134,12.7,16:03,46.9
164,Kyle Wellwood,2006-07,TOR,R,C,48,12,30,42,+3,0,0.88,5,21,7,21,0,0,0,2,99,12.1,16:38,56.4
165,Kevin Bieksa,2006-07,VAN,R,D,81,12,30,42,+1,134,0.52,6,23,6,19,0,0,0,2,203,5.9,24:16,--
166,Jay Bouwmeester,2006-07,FLA,L,D,82,12,30,42,+23,66,0.51,9,31,3,11,0,0,0,3,174,6.9,25:57,--
167,Matt Carle,2006-07,SJS,L,D,77,11,31,42,+9,30,0.55,3,16,8,26,0,0,0,1,111,9.9,18:08,0.0
168,Matt Cullen,2006-07,NYR,L,C,80,16,25,41,0,52,0.51,11,29,2,7,3,5,0,2,217,7.4,17:10,54.6
169,Radim Vrbata,2006-07,CHI,R,R,77,14,27,41,-4,26,0.53,9,29,5,11,0,1,0,2,215,6.5,16:53,33.3
170,Petr Prucha,2006-07,NYR,R,R,79,22,18,40,-7,30,0.51,14,24,8,16,0,0,0,2,136,16.2,13:00,50.0
171,Daniel Cleary,2006-07,DET,L,R,71,20,20,40,+6,24,0.56,12,29,6,8,2,3,0,5,135,14.8,15:28,51.1
172,Shea Weber,2006-07,NSH,R,D,79,17,23,40,+13,60,0.51,11,25,6,14,0,1,0,2,152,11.2,19:23,--
173,Owen Nolan,2006-07,PHX,R,R,76,16,24,40,-2,56,0.53,11,25,2,12,3,3,0,1,154,10.4,15:25,52.5
174,Sergei Brylin,2006-07,NJD,L,L,82,16,24,40,-5,35,0.49,8,24,8,15,0,1,0,2,97,16.5,17:45,45.5
175,Randy Robitaille,2006-07,"PHI,NYI",L,C,78,11,29,40,-6,44,0.51,8,31,3,9,0,0,0,1,120,9.2,14:08,53.3
176,Michal Rozsival,2006-07,NYR,R,D,80,10,30,40,+10,52,0.50,3,18,7,20,0,2,0,3,104,9.6,23:46,0.0
177,Scott Hartnell,2006-07,NSH,L,L,64,22,17,39,+19,96,0.61,12,27,10,11,0,1,0,2,150,14.7,15:43,47.0
178,Mark Parrish,2006-07,MIN,R,R,76,19,20,39,+9,18,0.51,14,28,5,11,0,0,1,4,141,13.5,14:20,30.8
179,Antoine Vermette,2006-07,OTT,L,C,77,19,20,39,-2,52,0.51,14,30,2,5,3,4,0,2,151,12.6,15:42,53.0
180,Jeff Hamilton,2006-07,CHI,R,C,70,18,21,39,-4,22,0.56,15,25,3,14,0,0,1,4,138,13.0,12:56,36.4
181,Jarret Stoll,2006-07,EDM,R,C,51,13,26,39,+2,48,0.76,6,20,6,17,1,2,0,2,115,11.3,18:12,55.6
182,Brett Clark,2006-07,COL,L,D,82,10,29,39,+5,50,0.48,6,24,4,14,0,1,0,1,140,7.1,23:41,100.0
183,Matt Stajan,2006-07,TOR,L,C,82,10,29,39,+3,44,0.48,8,31,1,7,1,1,0,1,132,7.6,16:09,46.1
184,Chris Higgins,2006-07,MTL,L,L,61,22,16,38,-11,26,0.62,11,20,8,15,3,3,0,3,159,13.8,17:54,34.0
185,Yanic Perreault,2006-07,"PHX,TOR",L,C,66,21,17,38,-1,34,0.58,14,26,7,12,0,0,1,5,125,16.8,15:33,62.8
186,Tuomo Ruutu,2006-07,CHI,L,L,71,17,21,38,+4,95,0.54,16,30,1,8,0,0,0,1,115,14.8,17:21,42.7
187,Ales Kotalik,2006-07,BUF,R,R,66,16,22,38,-5,46,0.58,13,27,3,11,0,0,0,4,162,9.9,14:31,48.6
188,Chris Kelly,2006-07,OTT,L,C,82,15,23,38,+28,40,0.46,12,31,1,2,2,5,0,0,131,11.5,15:18,49.8
189,Alexei Zhitnik,2006-07,"NYI,PHI,ATL",L,D,79,7,31,38,+1,92,0.48,4,23,3,14,0,1,1,2,132,5.3,24:06,50.0
190,Roman Hamrlik,2006-07,CGY,L,D,75,7,31,38,+22,88,0.51,6,19,1,18,0,1,0,1,125,5.6,24:52,--
191,Tom Preissing,2006-07,OTT,R,D,80,7,31,38,+40,18,0.48,4,20,3,18,0,0,0,0,94,7.5,15:15,--
192,Taylor Pyatt,2006-07,VAN,L,L,76,23,14,37,+5,42,0.49,14,26,9,11,0,0,0,4,150,15.3,13:58,0.0
193,Alexander Radulov,2006-07,NSH,L,R,64,18,19,37,+19,26,0.58,13,26,5,11,0,0,0,4,96,18.8,11:38,--
194,Ville Peltonen,2006-07,FLA,L,L,72,17,20,37,+7,28,0.51,13,30,4,6,0,1,0,0,145,11.7,16:25,31.4
