#,Player,Season,Team,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Evgeni Malkin,2011-12,PIT,L,C,75,50,59,109,+18,70,1.45,38,75,12,34,0,0,1,9,339,14.8,21:01,47.5
2,Steven Stamkos,2011-12,TBL,R,C,82,60,37,97,+7,66,1.18,48,72,12,25,0,0,5,12,303,19.8,22:01,45.5
3,Claude Giroux,2011-12,PHI,R,C,77,28,65,93,+6,29,1.21,22,53,6,38,0,2,2,5,242,11.6,21:33,53.7
4,Jason Spezza,2011-12,OTT,R,C,80,34,50,84,+11,36,1.05,24,60,10,24,0,0,0,2,232,14.7,19:55,53.5
5,Ilya Kovalchuk,2011-12,NJD,R,L,77,37,46,83,-9,33,1.08,24,49,10,29,3,5,0,5,310,11.9,23:49,35.1
6,Phil Kessel,2011-12,TOR,R,R,82,37,45,82,-10,20,1.00,27,59,10,23,0,0,0,6,295,12.5,20:03,32.1
7,James Neal,2011-12,PIT,L,L,80,40,41,81,+6,87,1.01,22,51,18,30,0,0,0,4,329,12.2,19:08,26.7
8,John Tavares,2011-12,NYI,L,C,82,31,50,81,-6,26,0.99,24,56,7,25,0,0,1,8,286,10.8,20:34,51.3
9,Henrik Sedin,2011-12,VAN,L,C,82,14,67,81,+23,52,0.99,6,54,8,27,0,0,0,6,113,12.4,19:05,50.1
10,Patrik Elias,2011-12,NJD,L,C,81,26,52,78,-8,16,0.96,16,45,8,29,2,4,0,3,164,15.9,19:51,44.1
11,Erik Karlsson,2011-12,OTT,R,D,81,19,59,78,+16,42,0.96,16,50,3,28,0,0,0,5,261,7.3,25:19,0.0
12,Marian Hossa,2011-12,CHI,L,R,81,29,48,77,+18,20,0.95,18,54,9,20,2,3,0,4,248,11.7,19:58,33.3
13,Ray Whitney,2011-12,PHX,R,L,82,24,53,77,+26,28,0.94,16,57,8,20,0,0,0,1,185,13.0,18:39,26.7
14,Joe Thornton,2011-12,SJS,L,C,82,18,59,77,+17,31,0.94,14,53,4,23,0,1,0,2,156,11.5,20:28,56.1
15,Marian Gaborik,2011-12,NYR,L,R,82,41,35,76,+15,34,0.93,31,55,10,21,0,0,3,7,276,14.9,19:31,0.0
16,Jordan Eberle,2011-12,EDM,R,R,78,34,42,76,+4,10,0.97,24,56,10,20,0,0,0,4,180,18.9,17:36,44.4
17,Anze Kopitar,2011-12,LAK,L,C,82,25,51,76,+12,20,0.93,15,46,8,26,2,4,0,2,230,10.9,21:20,53.8
18,Martin St. Louis,2011-12,TBL,L,R,77,25,49,74,-3,16,0.96,21,58,4,16,0,0,1,3,185,13.5,22:38,43.9
19,Jason Pominville,2011-12,BUF,R,R,82,30,43,73,-7,12,0.89,20,44,8,26,2,3,2,5,235,12.8,19:41,47.7
20,Loui Eriksson,2011-12,DAL,L,L,82,26,45,71,+18,12,0.87,19,56,5,12,2,3,2,3,187,13.9,19:46,43.8
21,Eric Staal,2011-12,CAR,L,C,82,24,46,70,-20,48,0.85,14,42,7,23,3,5,1,3,262,9.2,21:33,52.5
22,Matt Moulson,2011-12,NYI,L,L,82,36,33,69,+1,6,0.84,22,45,14,24,0,0,0,5,219,16.4,19:18,50.0
23,Patrick Sharp,2011-12,CHI,R,L,74,33,36,69,+28,38,0.93,25,51,7,17,1,1,2,8,282,11.7,19:54,47.8
24,Zach Parise,2011-12,NJD,L,L,82,31,38,69,-5,32,0.84,21,48,7,14,3,7,1,3,293,10.6,21:29,47.6
25,Henrik Zetterberg,2011-12,DET,L,C,82,22,47,69,+14,47,0.84,19,53,3,14,0,2,0,4,267,8.2,19:50,49.2
26,Scott Hartnell,2011-12,PHI,L,L,82,37,30,67,+19,136,0.82,21,44,16,23,0,0,1,6,232,16.0,17:47,31.8
27,Jarome Iginla,2011-12,CGY,R,R,82,32,35,67,-10,43,0.82,24,48,8,19,0,0,0,5,251,12.8,20:36,50.2
